date,bet,bet_nature,match,statistics_name,statistic_role,statistic_number,wdl
07.05.2022,3000,ord,Brighton-Man Utd,YC,F1,1.5,w
07.05.2022,3000,exp,"Brighton-Man Utd, Nantes-Lion","Foul, Corner","TU2, F2","15.5, 4,5","w, w"
